date,SMB,HML,PR1YR,UMD
19910731,0.015370,-0.000601,-0.009435,-0.058067
19910831,-0.019145,0.016078,0.027372,0.019015
19910930,0.045814,0.011671,0.088827,0.102167
19911031,0.017933,-0.016092,0.053708,0.081433
19911130,0.040566,-0.046072,0.118102,0.063623
19911231,-0.035116,-0.012113,-0.007130,-0.051130
19920131,0.025898,0.103497,0.029265,0.060232
19920229,0.009963,-0.024503,0.014763,-0.000443
19920331,-0.065731,-0.016614,-0.001463,-0.000209
19920430,-0.024405,0.023613,-0.046294,-0.073755
19920531,-0.011547,-0.041321,-0.024134,-0.009916
19920630,0.038034,0.003056,0.065035,0.058384
19920731,-0.025394,-0.075051,0.071024,0.072982
19920831,0.015653,-0.096983,0.097506,0.133369
19920930,-0.071977,-0.107499,-0.006171,-0.071282
19921031,0.026315,0.059379,-0.184097,-0.075531
19921130,-0.072304,0.028704,-0.033596,-0.076510
19921231,0.050346,0.175843,0.055094,-0.085712
19930131,0.053321,-0.014316,-0.011533,0.003498
19930228,0.105656,0.061682,-0.064768,-0.039554
19930331,0.023111,0.065557,0.073020,-0.049195
19930430,0.031200,0.122833,-0.021521,-0.040304
19930531,0.078614,0.005373,-0.036630,-0.007171
19930630,0.017859,0.114062,0.189666,0.084761
19930731,0.063486,0.029816,0.077798,0.062172
19930831,0.071318,-0.069066,-0.096072,-0.074278
19930930,0.000515,-0.061931,-0.031131,-0.019531
19931031,0.004670,0.058031,-0.005669,-0.009517
19931130,0.034094,-0.026080,-0.062270,-0.190910
19931231,-0.054355,0.041012,-0.042810,0.003933
19940131,-0.020682,0.050184,0.082723,-0.035978
19940228,0.034266,-0.052183,0.048591,-0.000284
19940331,0.018938,0.025890,0.013965,0.008418
19940430,-0.034645,0.027775,-0.008664,-0.006818
19940531,-0.005928,0.008837,-0.010546,0.023773
19940630,0.008263,0.017228,-0.042831,-0.048129
19940731,-0.063317,-0.002763,0.020991,0.020469
19940831,0.017336,-0.003895,0.014633,0.002559
19940930,0.021855,0.002623,0.018250,0.009985
19941031,-0.017637,-0.005002,-0.010364,0.007416
19941130,0.020860,-0.013361,-0.022099,-0.034799
19941231,-0.011621,0.032086,-0.030230,-0.049587
19950131,-0.013112,0.053757,0.057193,0.033135
19950228,0.032988,0.010125,-0.009059,-0.054470
19950331,0.018610,-0.027099,-0.023231,-0.037008
19950430,-0.035543,-0.012699,0.068278,0.054745
19950531,-0.002346,0.033267,0.049464,0.048609
19950630,-0.032756,0.046437,-0.009565,-0.010310
19950731,0.026760,-0.040728,0.036581,-0.000981
19950831,0.053043,0.013956,0.084140,0.059323
19950930,0.009957,0.002324,0.011094,0.013986
19951031,0.030787,-0.058305,0.077741,0.087085
19951130,0.016207,-0.053645,0.026607,0.012646
19951231,0.043090,-0.024411,0.058374,0.041793
19960131,0.058247,-0.002557,-0.004408,0.011585
19960229,-0.045969,0.128412,-0.006974,-0.025343
19960331,-0.022089,0.055490,-0.039997,-0.051994
19960430,-0.002204,-0.045311,-0.030575,0.004385
19960531,0.008052,0.027754,-0.000342,0.001947
19960630,-0.019053,0.052018,-0.003197,-0.000085
19960731,0.039733,0.011776,0.005727,0.018170
19960831,0.015349,-0.040277,0.022289,0.043618
19960930,-0.015041,0.015509,0.043144,0.047328
19961031,0.012841,-0.065950,0.030068,0.014490
19961130,0.027182,-0.046043,-0.003454,0.010880
19961231,0.023392,0.008676,-0.000300,-0.013798
19970131,0.070634,-0.110337,0.098088,0.130794
19970228,0.010151,-0.019306,0.076821,0.041275
19970331,0.014282,0.014253,0.019988,0.010383
19970430,-0.046657,0.129559,-0.026489,0.004978
19970531,0.021692,-0.014209,-0.000063,0.014836
19970630,-0.031730,0.046748,0.006332,-0.059091
19970731,0.001419,0.013043,-0.015978,-0.071451
19970831,0.006773,-0.032640,0.030629,-0.019260
19970930,-0.003974,-0.032194,0.042141,0.051882
19971031,-0.021208,-0.067497,0.048713,0.051450
19971130,-0.003034,-0.015073,0.025898,0.011467
19971231,-0.021760,0.009101,0.039226,0.011846
19980131,0.003652,-0.061306,-0.072728,-0.054542
19980228,0.005007,-0.023091,0.024215,0.079274
19980331,-0.026065,-0.070023,0.009346,0.019889
19980430,0.037973,-0.098367,0.036190,0.034464
19980531,0.043712,0.006348,0.041664,0.027578
19980630,-0.035992,0.027278,0.012583,-0.005795
19980731,0.028753,-0.003076,-0.007859,0.013969
19980831,-0.012805,-0.020755,-0.003525,-0.016900
19980930,-0.026554,-0.036292,-0.051048,-0.039780
19981031,-0.123060,-0.059886,0.043182,0.018528
19981130,0.023044,-0.017766,0.120195,0.119472
19981231,-0.079691,0.009835,0.066853,0.106173
19990131,0.117791,0.020884,-0.092052,0.007030
19990228,0.056632,-0.018125,0.066574,0.066054
19990331,0.057355,0.081781,-0.154995,-0.224031
19990430,-0.026776,0.035562,-0.022328,-0.068182
19990531,0.040323,0.058120,-0.005989,0.096191
19990630,-0.000951,0.026044,-0.002958,-0.016861
19990731,0.003933,0.001318,-0.005585,-0.070710
19990831,-0.019431,-0.014006,0.017788,0.002181
19990930,0.016525,0.044573,-0.074969,-0.026236
19991031,-0.039333,-0.069001,0.042599,0.043409
19991130,0.055089,-0.071039,-0.046909,-0.123701
19991231,0.108340,-0.165064,0.049299,0.117471
20000131,0.107050,-0.023009,0.069570,0.122167
20000229,0.289256,-0.205413,0.168305,0.122404
20000331,-0.021280,0.046111,-0.006610,-0.045862
20000430,-0.023459,0.070675,-0.035037,-0.059196
20000531,-0.020016,0.066232,-0.046700,-0.038566
20000630,0.042774,-0.015642,0.000586,0.025728
20000731,-0.004551,-0.018774,0.043988,0.065591
20000831,0.055949,0.005310,-0.006420,0.094193
20000930,-0.033416,-0.034338,-0.020048,0.004242
20001031,-0.034616,-0.000162,0.001374,0.030700
20001130,0.025603,0.062915,-0.028651,-0.028467
20001231,-0.083844,0.029433,0.016442,-0.094800
20010131,0.107209,-0.098458,-0.024086,0.027934
20010228,-0.034562,0.102138,0.125205,0.040828
20010331,0.016298,0.084378,0.044675,0.021779
20010430,0.007578,-0.011671,0.049023,-0.006385
20010531,0.016110,-0.024195,-0.004244,0.018876
20010630,-0.007778,0.039447,0.067395,0.072098
20010731,0.007670,-0.019696,-0.049794,-0.024296
20010831,-0.060208,0.002929,-0.020273,0.038607
20010930,-0.031168,-0.012822,0.030353,0.021083
20011031,0.058887,-0.055129,-0.018596,-0.060889
20011130,0.133307,-0.126546,-0.141512,-0.158134
20011231,-0.025634,0.017813,0.067291,0.040982
20020131,0.095789,-0.006521,0.025221,0.097146
20020228,-0.057224,0.023705,0.063558,0.051414
20020331,-0.014608,0.073313,-0.065426,-0.075960
20020430,-0.008681,0.136168,0.026629,0.019547
20020531,-0.012423,0.011033,0.089782,0.101836
20020630,0.050992,0.024222,0.103673,0.057416
20020731,0.025461,0.006038,0.074182,-0.010686
20020831,-0.029524,-0.028239,0.072922,0.015594
20020930,-0.044974,0.041297,0.099295,0.148041
20021031,0.131374,-0.057866,-0.067449,-0.171880
20021130,0.023471,0.020144,0.012874,-0.038594
20021231,-0.031924,0.027210,0.169798,0.055933
20030131,0.084476,0.067056,-0.020167,-0.057751
20030228,0.032358,-0.021978,0.077654,0.093661
20030331,-0.055810,0.037187,0.019340,0.017210
20030430,0.089734,0.044202,-0.146504,-0.136603
20030531,0.021603,0.012222,-0.033148,-0.030509
20030630,0.026379,-0.008914,-0.086861,-0.038912
20030731,0.125112,0.065857,-0.084567,-0.115470
20030831,0.052443,0.041878,0.000447,-0.010636
20030930,0.157499,0.095297,0.011740,-0.054381
20031031,-0.008223,0.023282,0.023219,-0.033510
20031130,-0.031853,0.025131,0.069198,0.052989
20031231,-0.017573,0.022257,0.039152,0.003270
20040131,0.074149,0.071406,0.090217,0.127235
20040229,0.046206,0.048220,0.028875,0.059774
20040331,0.005483,-0.037470,-0.012158,0.005610
20040430,-0.036886,-0.028695,-0.024101,-0.062764
20040531,-0.095088,-0.029400,-0.047023,0.033251
20040630,-0.016940,0.106502,0.032239,0.028899
20040731,0.016693,0.015716,-0.025003,-0.049608
20040831,-0.028304,0.051662,0.030399,0.039831
20040930,-0.058748,0.028237,0.077350,0.094912
20041031,-0.005984,0.015577,0.005882,0.005562
20041130,0.038525,0.117776,0.126361,0.068564
20041231,0.075582,-0.005041,-0.037782,-0.056845
20050131,0.054800,0.058396,0.086460,0.090625
20050228,-0.039901,0.056833,0.104701,0.136811
20050331,0.028590,0.000231,0.010831,0.042895
20050430,-0.008100,-0.023895,-0.037070,0.020575
20050531,-0.006261,0.005888,0.030190,0.005647
20050630,0.094755,0.124783,0.057990,0.005083
20050731,-0.002582,-0.010146,0.036682,0.067362
20050831,0.040641,-0.069085,0.114045,0.124876
20050930,0.105050,-0.053692,-0.013349,0.023279
20051031,0.004845,0.049026,-0.063512,-0.069465
20051130,0.113597,-0.031311,0.039700,0.015414
20051231,0.030208,-0.006430,0.101746,0.134896
20060131,-0.067466,0.010558,-0.001146,0.027914
20060228,-0.000662,0.009646,0.000295,-0.034608
20060331,-0.014461,0.048902,0.105365,0.113087
20060430,0.011559,0.030096,0.050296,0.128433
20060531,0.046205,-0.056814,-0.025725,0.020157
20060630,-0.018259,0.002835,-0.039874,-0.056914
20060731,-0.010830,-0.002157,-0.005729,-0.003727
20060831,0.072887,0.031453,-0.044247,-0.062734
20060930,0.051854,-0.032009,-0.002132,-0.036574
20061031,-0.033570,-0.009745,0.003368,0.011560
20061130,0.028727,-0.011136,0.025381,0.003504
20061231,0.014225,0.067176,0.018606,0.019616
20070131,-0.003172,0.040283,-0.046282,-0.053607
20070228,0.033701,-0.025817,0.019376,0.018932
20070331,-0.005114,0.014495,0.026899,-0.004721
20070430,0.040985,0.007797,0.028442,-0.000192
20070531,0.009541,0.010238,0.036368,0.039796
20070630,0.035582,0.031620,0.009724,-0.048749
20070731,0.025630,0.004043,0.009393,0.033016
20070831,0.000593,-0.001447,0.000128,-0.006702
20070930,-0.056338,-0.061114,0.026002,0.006748
20071031,-0.010462,-0.011533,0.026237,0.006365
20071130,-0.017555,0.026852,0.051836,0.012321
20071231,0.051627,-0.006733,-0.048473,-0.036115
20080131,0.087663,0.053818,-0.035992,-0.058825
20080229,-0.047204,0.001524,0.073193,0.058405
20080331,-0.018085,-0.008332,0.023347,0.024941
20080430,-0.015187,-0.053531,0.018744,0.057599
20080531,0.065651,0.009725,-0.016549,0.061997
20080630,0.017041,-0.005165,0.065715,0.076610
20080731,0.008674,0.039417,-0.024336,-0.067855
20080831,-0.040711,-0.035422,0.056139,-0.004090
20080930,0.024759,0.032279,0.034650,0.029734
20081031,0.011330,-0.026918,0.084610,0.089827
20081130,0.042454,-0.158188,0.031594,-0.019334
20081231,-0.078470,0.023394,0.035011,0.028892
20090131,0.073593,0.016314,-0.082258,-0.067040
20090228,-0.016824,0.006819,0.018520,0.036852
20090331,-0.052792,0.055549,0.049183,-0.014728
20090430,-0.017614,0.076938,-0.087994,-0.095009
20090531,0.059338,0.075507,-0.078627,-0.166695
20090630,0.064737,0.074801,-0.029721,0.024038
20090731,-0.042908,-0.005976,-0.018352,-0.030278
20090831,-0.047616,0.031723,0.021360,0.058253
20090930,-0.003785,-0.038386,-0.004290,0.023402
20091031,0.112102,0.034095,0.102766,0.099877
20091130,0.010302,-0.002941,0.029614,0.117849
20091231,0.059979,0.013531,-0.008542,-0.069124
20100131,0.049953,0.075996,0.061247,0.013264
20100228,-0.011839,0.004192,0.061435,0.020114
20100331,0.050767,0.043523,0.024154,0.021991
20100430,0.034475,0.010169,0.018831,0.025789
20100531,-0.005828,-0.048570,-0.019767,-0.021371
20100630,-0.013131,-0.105740,0.001173,-0.031676
20100731,-0.034733,0.009579,-0.018847,0.029747
20100831,0.000087,-0.022203,-0.030514,-0.036397
20100930,-0.028110,-0.001283,0.045312,0.000618
20101031,-0.019620,0.045061,0.015542,0.013220
20101130,0.011290,0.008565,0.022268,-0.021346
20101231,-0.003099,-0.006904,0.017183,-0.004854
20110131,0.058117,-0.011817,0.039862,-0.014142
20110228,-0.002731,-0.005108,0.018086,0.008502
20110331,0.043501,-0.001465,0.042943,0.042869
20110430,0.047124,-0.041298,0.031465,0.043133
20110531,-0.010497,0.008056,0.046081,0.075642
20110630,-0.011842,0.004932,0.059903,0.044501
20110731,-0.018283,0.048960,-0.006091,0.005532
20110831,-0.014503,-0.012399,0.011801,-0.024263
20110930,0.008997,-0.052784,0.087014,0.050503
20111031,-0.000005,-0.073211,0.011520,0.040485
20111130,-0.025252,-0.056860,0.022678,0.014740
20111231,0.056686,-0.050877,0.063799,0.174269
20120131,0.121363,0.079373,-0.163150,-0.074306
20120229,-0.024745,0.002128,0.047575,0.105087
20120331,0.054858,-0.038949,-0.026535,-0.012409
20120430,0.052678,-0.020927,0.010888,0.061821
20120531,0.006462,-0.031159,0.026288,0.029979
20120630,-0.019780,-0.079697,0.000565,-0.006593
20120731,-0.034339,-0.008274,0.022581,0.019533
20120831,-0.001674,0.011092,-0.059532,0.038879
20120930,0.001163,0.024980,0.025539,-0.022483
20121031,-0.029310,0.023715,0.007628,0.028859
20121130,-0.036782,0.050220,-0.013148,-0.007245
20121231,0.017313,-0.016315,-0.005511,0.013625
20130131,0.041474,0.058358,-0.005160,0.006815
20130228,0.016070,0.029479,0.084074,0.029403
20130331,0.067154,-0.000150,0.019264,0.023873
20130430,-0.044391,0.061376,0.105118,0.106617
20130531,0.042702,-0.014085,-0.018650,0.025007
20130630,0.088094,0.036604,0.008685,0.144611
20130731,0.013574,-0.003433,0.073114,-0.000798
20130831,-0.005521,-0.030431,-0.024422,-0.064658
20130930,0.110875,-0.102267,-0.019055,0.075529
20131031,-0.011419,-0.007691,0.030289,0.065104
20131130,0.060783,-0.027463,-0.013163,0.013418
20131231,0.052579,0.046617,0.029804,0.019895
20140131,0.048410,0.044885,0.004015,0.038317
20140228,-0.026309,-0.009779,0.012755,0.000444
20140331,0.028439,0.007769,-0.033167,-0.013192
20140430,-0.051627,0.021336,-0.055671,-0.064977
20140531,-0.009815,-0.009512,0.022779,0.003310
20140630,-0.011153,-0.013471,0.024161,0.025593
20140731,-0.004744,0.045627,0.023127,0.055086
20140831,-0.027993,0.014518,0.029986,0.047304
20140930,-0.042361,0.028858,0.047823,0.086978
20141031,0.057576,-0.009814,0.114260,0.139353
20141130,-0.004366,-0.009282,0.075238,0.079972
20141231,0.060368,-0.145845,-0.036291,0.035546
20150131,0.003678,0.006627,0.091618,0.065063
20150228,-0.008556,0.019696,0.007446,-0.011778
20150331,-0.003715,0.019202,0.064596,0.090148
20150430,0.018972,-0.124378,-0.051487,-0.277240
20150531,0.000509,-0.007785,0.040616,0.072059
20150630,0.034596,-0.060793,0.040616,0.090462
20150731,-0.010472,-0.081368,0.123667,0.170745
20150831,0.036527,-0.076781,0.078168,0.047783
20150930,0.031078,-0.018757,0.005026,0.020429
20151031,0.108524,-0.232959,0.017547,-0.150817
20151130,0.013529,-0.002870,0.029489,-0.005410
20151231,0.046132,-0.083722,0.122789,0.206770
20160131,0.082918,0.025352,-0.019210,0.018437
20160229,-0.001878,0.005264,0.013547,-0.050249
20160331,0.044134,-0.014741,-0.008103,0.006305
20160430,0.013996,-0.008549,-0.013383,-0.053339
20160531,-0.016665,-0.035615,0.025513,0.058993
20160630,0.018895,0.003346,0.023179,0.025660
20160731,0.036067,-0.004208,0.031530,0.025451
20160831,0.047855,-0.010889,-0.008918,-0.056830
20160930,0.043071,-0.028871,-0.002058,0.023123
20161031,0.007703,0.044561,0.015706,0.013939
20161130,0.044239,0.037593,0.071913,0.052632
20161231,0.131674,0.106772,-0.102578,-0.034376
20170131,0.083022,-0.065335,0.053077,0.038162
20170228,0.019224,0.010958,0.042617,0.024823
20170331,-0.016564,0.010857,0.003061,0.005440
20170430,0.003084,-0.010532,0.041323,0.032528
20170531,-0.018329,-0.049734,0.020241,-0.010667
20170630,0.019322,0.030104,-0.003640,0.006541
20170731,-0.023598,-0.008539,0.035337,0.022945
20170831,-0.040067,0.043576,0.037876,0.031286
20170930,-0.004454,0.026955,-0.007309,-0.009490
20171031,-0.013383,-0.023196,0.004286,0.012006
20171130,0.006240,-0.024107,-0.004308,-0.000713
20171231,0.053698,-0.070149,0.003673,-0.009046
20180131,0.011223,0.006223,-0.006648,0.002783
20180228,-0.000900,-0.022028,0.036671,-0.044276
20180331,0.015406,-0.021315,0.002499,-0.006678
20180430,-0.026759,-0.022302,-0.019928,-0.052845
20180531,0.022889,-0.002328,-0.036717,-0.024808
20180630,-0.019866,-0.012200,-0.022117,-0.014621
20180731,0.036548,-0.086809,0.019659,0.018447
20180831,0.006603,-0.007808,0.028909,-0.012783
20180930,0.022772,-0.056073,0.010290,0.015004
20181031,-0.030597,0.056678,0.017737,0.009718
20181130,-0.013903,-0.041885,-0.054738,-0.020308
20181231,0.010071,-0.018164,0.023398,-0.009020
20190131,0.019773,-0.020040,0.050295,0.045880
