date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19840831,0.30379,0.067599,0.129774,0.05009,-0.011467,0.078002,0.022875,0.003567,0.065866,0.089881
19840930,0.182302,-0.061729,-0.065648,-0.012292,-0.006306,-0.005934,-0.066783,-0.030923,-0.049515,-0.028524
19841031,-0.033241,0.061612,0.208289,0.042035,0.079877,0.098949,0.063026,0.004685,0.07979,0.036723
19841130,0.698039,0.053461,-0.0116,0.017251,0.118672,0.03038,0.043657,0.013513,0.019454,-0.061627
19841231,-0.164741,-0.08795,0.254056,0.049529,0.087396,0.044778,0.138212,-0.001706,0.161168,-0.006616
19850131,0.309791,0.203198,0.121849,0.170011,0.115252,0.127314,0.211614,0.177218,0.198,0.14469
19850228,0.015269,-0.011938,0.157706,-0.046546,-0.033299,-0.007312,-0.034647,-0.095275,-0.004363,-0.03217
19850331,0.051292,-0.068788,-0.019186,0.021043,0.081205,-0.043435,-0.025099,-0.02583,-0.062412,-0.04712
19850430,0.14913,-0.001154,0.027205,0.036802,0.038076,0.028718,0.047246,0.007582,0.030509,0.08198
19850531,-0.001822,0.047542,0.081486,0.004371,0.026993,0.058331,0.081271,0.009101,0.098462,0.022663
19850630,-0.017246,0.007588,-0.037703,-0.010893,-0.070023,-0.042266,-0.022485,-0.019697,-0.018325,-0.055796
19850731,-0.051397,0.026005,0.065292,0.067296,0.060044,0.053195,0.006188,0.056491,0.002351,0.063244
19850831,-0.008392,0.077806,0.042944,0.042367,0.041682,-0.003659,0.050554,-0.004675,0.023026,0.015823
19850930,0.005462,0.097194,0.058936,0.038819,-0.00876,0.083838,0.066521,0.066364,0.024812,0.044989
19851031,0.055256,-0.003853,0.323653,0.133494,0.153872,0.054181,0.122082,0.057162,0.020042,0.132803
19851130,0.101044,0.125297,0.039275,0.077498,0.009161,0.094865,0.121165,0.09302,0.006643,0.026233
19851231,-0.043859,-0.012907,-0.05702,-0.003417,0.013798,0.019757,0.038375,-0.000932,-0.038692,-0.025528
19860131,0.169553,0.06282,0.015502,0.003756,0.019491,-0.041262,-0.03199,-0.038616,-0.061637,-0.049484
19860228,0.000174,0.027242,-0.060119,-0.019196,-0.009338,-0.028872,-0.01513,0.011008,0.023403,-0.03798
